category,count,total_bytes,public_tracking_decision
algorithm_extension,9,195774,archived_or_review_before_public_use
build_artifact,81,30702799,ignored
cache_or_temp,88,41634948,ignored
config,14,25718050,track_reviewed_configs_only
documentation,63,211285,track_public_docs
environment_file,14872,534845571,ignored
example,1,298,track
experiment_script,6,7579,track_reviewed_experiment_helpers
figure,11,9904308,ignored_until_reproducibility_review
generated_result_raw,34586,382321576,ignored
package_source,15,36546,track
paper_or_manuscript,9,2135620,ignored_private_or_archive
private_or_sensitive,6,10557,ignored
table,10,20006314,ignored_until_reproducibility_review
test,5,7383,track
tooling,1,18890,track
unknown,8,120120,ignored_preserved_for_review

